Date	Price	Open	High	Low	Change %
Dec 15, 2014	1192.6	1221.87	1224.24	1190.59	-2.45%
Dec 12, 2014	1222.6	1227.61	1228.38	1215.6	-0.44%
Dec 11, 2014	1227.95	1226.35	1233.2	1215.9	0.10%
Dec 10, 2014	1226.75	1230.38	1238.25	1224.73	-0.33%
Dec 09, 2014	1230.85	1203.19	1238.55	1199	2.30%
Dec 08, 2014	1203.2	1192.69	1208.59	1186.91	0.94%
Dec 05, 2014	1192.05	1205.3	1208.2	1186.1	-1.14%
Dec 04, 2014	1205.78	1209.25	1213.7	1201.07	-0.32%
Dec 03, 2014	1209.64	1198.56	1214.95	1194.2	0.89%
Dec 02, 2014	1199.01	1210.29	1213.05	1191.86	-0.98%
Dec 01, 2014	1210.9	1166.59	1221.46	1142.91	3.73%
Nov 28, 2014	1167.35	1190.39	1191.56	1165.04	-2.05%
Nov 27, 2014	1191.75	1197.7	1200.1	1185.45	-0.51%
Nov 26, 2014	1197.9	1200.65	1202.61	1194.71	-0.27%
Nov 25, 2014	1201.19	1197.05	1203.4	1190.3	0.32%
Nov 24, 2014	1197.4	1201.23	1204.24	1192.55	-0.33%
Nov 21, 2014	1201.4	1193.47	1208.01	1186.64	0.64%
Nov 20, 2014	1193.75	1183.05	1197.31	1176.56	0.88%
Nov 19, 2014	1183.3	1197.1	1202.77	1175.5	-1.19%
